id,first_name,last_name,email,gender,favorite_animal
1,Marabel,Avrasin,mavrasin0@51.la,Female,"Squirrel, golden-mantled ground"
2,Luciana,Tuffell,ltuffell1@wikimedia.org,Female,House sparrow
3,Raphaela,Stephens,rstephens2@ted.com,Female,Thirteen-lined squirrel
4,Kathrine,Giacomazzo,kgiacomazzo3@360.cn,Female,American crow
5,Elvira,Zipsell,ezipsell4@jimdo.com,Female,Red-cheeked cordon bleu
6,Deirdre,Nasi,dnasi5@jiathis.com,Female,"Heron, yellow-crowned night"
7,Valentin,Dener,vdener6@engadget.com,Male,Silver gull
8,Petronia,Baudoux,pbaudoux7@va.gov,Female,Fisher
9,Lindsey,Turnpenny,lturnpenny8@dailymail.co.uk,Male,"Nutcracker, clark's"
10,Claudianus,Lemonby,clemonby9@godaddy.com,Male,"Marten, american"
11,Jerrine,Reilingen,jreilingena@amazon.co.jp,Female,"Mouse, four-striped grass"
12,Grethel,Thurske,gthurskeb@instagram.com,Female,"Crocodile, nile"
13,Hadleigh,Etherton,hethertonc@omniture.com,Male,Southern black-backed gull
14,Val,Stannus,vstannusd@lulu.com,Female,Red kangaroo
15,Sheela,Dohrmann,sdohrmanne@cbc.ca,Female,Tiger cat
16,Onfre,Evenett,oevenettf@github.io,Male,Lava gull
17,Roley,Huriche,rhuricheg@themeforest.net,Male,"Flamingo, lesser"
18,Martguerita,Caldayrou,mcaldayrouh@indiegogo.com,Female,Lesser double-collared sunbird
19,Ira,Lippett,ilippetti@ox.ac.uk,Female,"Jackal, asiatic"
20,Brynn,Laweles,blawelesj@hatena.ne.jp,Female,Pine siskin
21,Katharina,Harkess,kharkessk@europa.eu,Female,"Cormorant, pied"
22,Tabor,Heart,theartl@admin.ch,Male,Tawny frogmouth
23,Jarvis,Rotherforth,jrotherforthm@flickr.com,Male,"Finch, common melba"
24,Darby,Weafer,dweafern@addtoany.com,Male,"Rattlesnake, horned"
25,Wallas,Alps,walpso@unc.edu,Male,Brown brocket
26,Chickie,Luckin,cluckinp@aboutads.info,Male,"Ibis, puna"
27,Barth,Toothill,btoothillq@webmd.com,Male,Black-faced kangaroo
28,Denise,Bleything,dbleythingr@acquirethisname.com,Female,Eastern diamondback rattlesnake
29,Theressa,Malkinson,tmalkinsons@wix.com,Female,"Wambenger, red-tailed"
30,Leroy,Jados,ljadost@virginia.edu,Male,Netted rock dragon
31,Bernelle,Chiese,bchieseu@live.com,Female,"Wolf, timber"
32,Bess,Bogart,bbogartv@intel.com,Female,"Badger, honey"
33,Sayres,Canada,scanadaw@si.edu,Male,Grison
34,Tracey,Krollmann,tkrollmannx@slashdot.org,Male,"Baboon, chacma"
35,Gabbie,Basden,gbasdeny@macromedia.com,Male,Pocket gopher (unidentified)
36,Riordan,Eadmeads,readmeadsz@icio.us,Male,Red-tailed cockatoo
37,Marvin,Thoma,mthoma10@liveinternet.ru,Male,Bushbuck
38,Kirbee,Harmstone,kharmstone11@t.co,Female,Sugar glider
39,Latrena,Sherbourne,lsherbourne12@imageshack.us,Female,Indian leopard
40,Rickey,Flewin,rflewin13@who.int,Male,Sable antelope
41,Conant,Velde,cvelde14@google.co.uk,Male,Alpaca
42,Abra,Delahunt,adelahunt15@geocities.jp,Female,Water legaan
43,Avery,Grahamslaw,agrahamslaw16@myspace.com,Male,White-winged tern
44,Carmelia,Argent,cargent17@miibeian.gov.cn,Female,"Cockatoo, red-tailed"
45,Yul,Gronaver,ygronaver18@seattletimes.com,Male,Impala
46,Dewain,Edgley,dedgley19@blogtalkradio.com,Male,Yellow-headed caracara
47,Shurwood,Rodgier,srodgier1a@kickstarter.com,Male,"Stork, white-necked"
48,Cathrine,Iacapucci,ciacapucci1b@zdnet.com,Female,"Robin, white-throated"
49,Kermy,Liggett,kliggett1c@liveinternet.ru,Male,"Badger, honey"
50,Verina,Georgot,vgeorgot1d@amazon.co.uk,Female,"Pintail, white-cheeked"
51,Jeanelle,Liffey,jliffey1e@theatlantic.com,Female,Brown pelican
